humidity,carbon 
32.3,0.3
33.5,0.4
31.2,0.5
26,0.7
30.4,0.2
28.8,0.3
19.9,0.6
16.6,0.4
23.2,0.6
22.8,0.5
17.3,0.3
18,0.5
19.9,0.4
29.7,0.8
29.3,0.5
14,0.4
25.8,0.4
25.2,0.2
18.5,0.3
16.4,0.4
18.6,0.2
32.5,0.4
24.2,0.5
18.9,0.3
15.5,0.2
26.4,0.2
25.9,0.3
21.2,0.5
25,0.5
62.1,0.3
80.6,0.3
71.4,0.3
55.5,0.5
42.9,0.2
40.8,0.2
41.7,0.3
31.5,0.3
23.6,0.3
21.4,0.1
16.1,0.2
15.6,0.5
23.7,0.5
42.3,0.2
47.2,0.3
47.1,0.3
34.3,0.5
39.1,0.5
39.6,0.7
46.7,0.8
73.8,0.5
79.8,0.7
72.9,0.7
50.9,0.6
49,0.4
58.4,0.3
23.8,0.3
26.9,0.5
27.3,0.7
25.7,0.5
59.4,0.4
63.1,0.3
42.8,0.3
33.8,0.6
40.4,0.4
24.7,0.3
27.2,0.3
35.4,0.6
30,0.8
58.6,0.3
50.6,0.3
73.7,0.3
66.8,0.2
62.5,0.3
44.8,0.6
49,0.5
66.9,0.3
62,0.3
48.9,0.4
43.2,0.6
55.2,0.5
52.6,0.3
46.4,0.4
35.3,0.3
64.8,0.4
60.3,0.3
46.5,0.3
48.4,0.2
55.4,0.4
48.7,0.7
45.1,0.4
46.9,0.4
39.8,0.2
27.6,0.3
27,0.5
21.6,0.5
30.3,0.2
28.3,0.3
24,0.4
24.5,0.4
21.9,0.5
20.9,0.4
24,0.3
37.3,0.3
35,0.7
30.6,0.5
38.6,0.4
54.1,0.3
48.7,0.2
43.4,0.3
49.9,0.2
55.3,0.2
28.1,0.3
27.5,0.2
32.4,0.3
43.8,0.4
38.9,0.3
19.3,0.4
19.1,0.4
20,0.3
41.6,0.3
38.6,0.2
25.8,0.2
23.6,0.4
44.3,0.2
29.8,0.4
20.3,0.5
41.3,0.3
47.2,0.2
29.7,0.4
17.9,0.4
16.1,0.3
14.4,0.3
17.3,0.3
47.1,0.4
45.3,0.5
46.3,0.3
49.3,0.4
47.3,0.3
47.1,0.5
49.2,0.5
53.9,0.3
84.3,0.4
72.9,0.4
73.4,0.5
68,0.3
48.9,0.2
41.4,0.3
30.6,0.2
28,0.2
25.3,0.2
33,0.3
36,0.5
41,0.4
34,0.5
34.8,0.6
35.6,0.8
60.1,0.7
62.8,0.3
56.1,0.4
52.5,0.3
63.1,0.2
51.9,0.2
37,0.3
32.4,0.4
39.6,0.2
69.2,0.4
50,0.3
39,0.3
40.5,0.5
33,0.3
22.4,0.4
27.3,0.4
22.7,0.3
39.9,0.2
33,0.4
27,0.5
24.6,0.4
21.4,0.5
20.1,0.8
51.6,0.3
54.4,0.3
37.3,0.3
36.8,0.3
33.1,0.2
61.4,0.3
60.7,0.2
43.9,0.3
41.6,0.5
34.2,0.3
35.8,0.2
40.7,0.2
30.4,0.2
24.9,0.3
30.2,0.2
31.1,0.2
22.4,0.2
20.9,0.4
28.2,0.2
58.8,0.2
64.3,0.2
34.5,0.2
30.8,0.2
27.6,0.3
25.5,0.3
58,0.3
74.5,0.2
71.7,0.4
59.3,0.8
46.8,0.5
36.9,0.3
25.9,0.2
24.1,0.2
37.3,0.3
49.1,0.3
54.9,0.3
54.2,0.2
46.7,0.4
41,0.2
40.2,0.2
26.6,0.2
24.5,0.3
20,0.5
18.5,0.7
17.1,0.8
27.9,0.2
32.5,0.1
28.7,0.2
27.4,0.3
23.2,0.3
27.4,0.4
25.9,0.6
23.5,0.6
21,0.8
51.6,0.4
53.4,0.1
37.2,0.1
24.9,0.2
33.8,0.4
30.6,0.2
32.9,0.2
27.2,0.5
24.6,0.3
31.8,0.2
29.7,0.2
24.4,0.4
24.5,0.2
16.7,0.1
14.1,0.2
14.6,0.4
17.3,0.2
26.7,0.3
22.4,0.5
30.8,0.3
38.7,0.2
42.9,0.3
32.9,0.5
28.9,0.2
22.7,0.1
22,0.4
23.4,0.4
20.7,0.3
20.2,0.4
20.5,0.6
38.1,0.3
52.7,0.2
53.8,0.2
40.8,0.2
28.7,0.2
17.6,0.2
15,0.3
15.6,0.3
18.6,0.3
15.1,0.4
34.6,0.1
67.1,0.2
75.9,0.2
65.4,0.3
50.3,0.4
47.7,0.2
43.4,0.1
61.5,0.2
43.9,0.2
20.2,0.2
38.8,0.4
31.9,0.2
26.2,0.2
27.4,0.2
26,0.2
21.3,0.1
26.9,0.1
21.1,0.1
19.4,0.2
13,0.2
12,0.1
13.5,0.1
13.6,0.1
18.2,0.1
24,0.2
35.9,0.2
65.1,0.1
67.5,0.3
71.3,0.4
45.7,0.1
58.4,0.2
42.3,0.2
28.8,0.3
15.2,0.2
18,0.2
16.1,0.2
9.3,0.2
10,0.2
21.7,0.3
10,0.2
8.7,0.1
