humidity,ozone
62.8,23
75.4,17
68.1,11
62.6,18
83.5,11
70.7,16
57.6,26
69.5,35
61.6,27
60.7,26
51.6,23
44.7,12
45.7,16
31.8,29
29,33
47.9,27
32.7,21
31.6,16
24.3,17
24.9,22
29.7,28
31.8,14
30.6,12
22.6,25
28,24
40,28
49.6,21
36,21
26.8,17
17.1,29
19.8,34
46.7,37
43.9,34
33.8,21
28.5,17
24,18
19,21
22.4,21
24.1,15
24.3,11
25.3,14
21.6,19
20.2,16
16.7,17
14.3,23
15.6,20
18.9,15
20.4,18
16.9,19
16.7,21
17.9,23
21.8,23
36.4,35
29.3,36
37.3,21
24.7,23
23.5,28
19.4,19
12.7,29
13.9,27
35.4,8
36.9,16
69.6,23
58.5,14
46.9,25
39.9,26
46.9,21
59.3,15
68,12
59.8,14
37.9,24
33.7,20
38.6,21
41.5,14
35.5,10
16.8,24
32,35
31.1,23
29.5,14
33.4,7
36.4,9
73.9,16
68.5,14
57.3,14
49.3,37
51.3,19
45.5,16
43.4,14
58.3,17
68.8,23
74.4,17
75.2,24
57.2,35
52.1,25
39.5,31
43.8,25
46.2,21
37.5,25
38.2,16
37.2,9
28.5,18
25.2,21
26.8,11
31.2,9
62.4,22
74.9,30
61.2,23
69.1,14
72,15
54,27
43.8,32
58.7,39
47.2,37
36.6,20
38.3,36
31.4,36
33.3,22
30,34
34.4,25
29.4,16
26.6,17
19.1,27
20.1,23
22.8,11
26.5,11
27.7,20
18.7,20
22.8,27
33.5,30
42.5,22
34.9,12
28.7,14
20,29
32.5,28
64.9,28
62.2,27
43.4,18
41.2,19
36.2,31
43.8,25
48.6,43
45.7,36
38.5,24
28.7,14
17.4,34
16.7,46
14.8,35
16.7,33
24.7,26
17.9,30
27.8,11
31.5,9
29.9,16
31.7,22
29.6,19
78.8,16
70.9,22
62.8,19
53.9,14
45,10
38.6,7
29,14
30.9,15
36.8,22
38.8,20
47.2,15
65.7,14
77.1,17
64.6,20
47.7,27
27.6,29
30.3,34
34.3,25
26.3,23
25.2,20
17.2,27
29.8,14
36.3,12
29.3,17
27.8,23
26.3,23
45.6,13
36.1,13
27.2,15
24.1,7
36.2,11
37.5,12
28,29
34.4,11
36.8,8
47.9,28
41.5,26
36.9,15
31.4,16
34.1,13
36.5,21
32.3,29
32.3,20
33.5,15
31.2,13
26,16
30.4,39
28.8,23
19.9,15
16.6,21
23.2,16
22.8,19
17.3,31
18,17
19.9,23
29.7,14
29.3,19
14,22
25.8,23
25.2,30
18.5,27
16.4,24
18.6,31
32.5,25
24.2,16
18.9,24
15.5,36
26.4,32
25.9,23
21.2,15
25,11
62.1,11
80.6,14
71.4,18
55.5,17
42.9,25
40.8,33
41.7,25
31.5,31
23.6,28
21.4,45
16.1,40
15.6,22
23.7,16
42.3,39
47.2,33
47.1,32
34.3,22
39.1,15
39.6,21
46.7,5
73.8,10
79.8,8
72.9,11
50.9,13
49,13
58.4,17
23.8,28
26.9,13
27.3,12
25.7,9
59.4,18
63.1,28
42.8,21
33.8,15
40.4,16
24.7,24
27.2,22
35.4,14
30,10
58.6,32
50.6,30
73.7,25
66.8,29
62.5,27
44.8,26
49,18
66.9,18
62,21
48.9,18
43.2,10
55.2,14
52.6,24
46.4,12
35.3,26
64.8,15
60.3,28
46.5,25
48.4,35
55.4,23
48.7,13
45.1,18
46.9,16
39.8,30
27.6,28
27,16
21.6,19
30.3,37
28.3,23
24,20
24.5,24
21.9,26
20.9,29
24,31
37.3,25
30.6,26
38.6,21
54.1,28
48.7,24
43.4,19
49.9,25
55.3,34
28.1,42
27.5,29
32.4,28
43.8,20
38.9,32
19.3,24
19.1,18
20,31
41.6,32
38.6,39
25.8,45
23.6,27
44.3,34
29.8,29
20.3,21
41.3,33
47.2,40
29.7,29
17.9,21
16.1,32
14.4,28
17.3,33
47.1,16
45.3,10
46.3,13
49.3,7
47.3,20
47.1,16
49.2,10
53.9,19
84.3,20
72.9,17
73.4,10
68,14
48.9,21
41.4,20
30.6,30
28,37
25.3,32
33,16
36,12
41,11
34,11
34.8,10
35.6,9
60.1,7
62.8,23
52.5,34
63.1,33
51.9,33
37,21
32.4,20
39.6,23
69.2,23
50,20
39,17
40.5,11
33,16
22.4,15
27.3,15
22.7,25
39.9,31
33,22
27,17
24.6,11
21.4,11
20.1,3
51.6,11
54.4,18
37.3,24
36.8,29
33.1,31
60.7,23
43.9,18
41.6,13
34.2,21
35.8,21
40.7,25
30.4,28
24.9,23
30.2,29
31.1,25
22.4,27
20.9,16
28.2,33
58.8,33
64.3,28
34.5,27
30.8,27
27.6,26
25.5,23
58,22
74.5,17
71.7,20
59.3,15
46.8,15
36.9,24
25.9,33
24.1,31
37.3,24
49.1,23
54.9,19
54.2,22
46.7,20
41,33
40.2,32
26.6,32
24.5,25
20,20
18.5,15
17.1,19
27.9,23
32.5,31
28.7,25
27.4,17
23.2,16
27.4,14
25.9,10
23.5,7
21,6
51.6,13
53.4,30
37.2,29
24.9,29
33.8,13
30.6,26
32.9,17
27.2,8
24.6,17
31.8,22
29.7,17
24.4,13
24.5,17
16.7,34
14.1,24
14.6,11
17.3,17
26.7,20
22.4,11
30.8,26
38.7,27
42.9,19
32.9,13
28.9,21
22.7,28
22,15
23.4,16
20.7,17
20.2,10
20.5,7
38.1,18
52.7,19
53.8,17
40.8,17
28.7,25
17.6,20
15,17
15.6,13
18.6,15
15.1,17
34.6,29
67.1,16
75.9,10
65.4,17
50.3,15
47.7,22
43.4,32
61.5,31
43.9,25
20.2,24
38.8,7
31.9,33
26.2,26
27.4,32
26,21
21.3,28
26.9,28
21.1,37
19.4,29
13,29
12,31
13.5,29
13.6,26
18.2,20
24,21
35.9,23
65.1,26
67.5,25
71.3,14
45.7,32
58.4,26
42.3,24
28.8,26
15.2,36
18,22
16.1,16
9.3,27
10,27
21.7,15
10,24
8.7,37
