nitrogen,humidity
3.8,62.8
9.4,75.4
21.8,68.1
11.2,62.6
15.1,83.5
14.1,70.7
9.1,57.6
5.2,69.5
7.9,61.6
9.3,60.7
16,51.6
22.8,44.7
20.3,45.7
11.9,31.8
8.3,29
14.3,47.9
12.1,32.7
19,31.6
20.1,24.3
12.5,24.9
11.4,29.7
23.4,31.8
33,30.6
8.2,22.6
16,28
6.4,40
11.1,49.6
16.2,36
17.2,26.8
7.4,17.1
5.3,19.8
2.8,46.7
4.5,43.9
16.6,33.8
20.1,28.5
18.7,24
18.7,19
13.8,22.4
23.8,24.1
27.3,24.3
23.6,25.3
17.8,21.6
27.6,20.2
24.5,16.7
14.2,14.3
15.3,15.6
22.4,18.9
25.4,20.4
21.8,16.9
18.8,16.7
16.4,17.9
8.1,21.8
7.8,36.4
4.4,29.3
19.8,37.3
17.7,24.7
20,23.5
25,19.4
15.2,12.7
16.1,13.9
33.3,35.4
20.7,36.9
4.2,69.6
15.8,58.5
9.2,46.9
11,39.9
15.2,46.9
7.3,59.3
12.5,68
16.4,59.8
9.4,37.9
13,33.7
9.4,38.6
16.4,41.5
20.9,35.5
5,16.8
1.4,32
7.9,31.1
17,29.5
25.9,33.4
22.6,36.4
12.1,73.9
13.6,68.5
15.2,57.3
1.5,49.3
13.8,51.3
14.8,45.5
16.3,43.4
12.8,58.3
9.2,68.8
8.9,74.4
5.9,75.2
4.4,57.2
9.5,52.1
4.7,39.5
7.5,43.8
7,46.2
9.1,37.5
23.4,38.2
28.2,37.2
14.3,28.5
14.2,25.2
33.7,26.8
24.9,31.2
4.4,62.4
7.5,72
4.1,54
3,43.8
-0.3,58.7
6.4,47.2
15.6,36.6
4.1,38.3
7,31.4
18.4,33.3
8.6,30
13.7,34.4
23.9,29.4
23.1,26.6
14.6,19.1
15.8,20.1
38.6,22.8
33.9,26.5
24.8,27.7
15.4,18.7
11.7,22.8
7.5,33.5
13.1,42.5
32.8,34.9
24.2,28.7
16.2,20
8.4,32.5
5.7,64.9
7.5,62.2
22.6,43.4
18.8,41.2
8.1,36.2
14.2,43.8
3.9,48.6
4.1,45.7
7.9,38.5
8.4,28.7
3.4,17.4
3.3,16.7
10.9,14.8
19.8,16.7
13,24.7
7,17.9
23.8,27.8
28.2,31.5
28.4,31.7
13.3,29.6
12.5,78.8
11.3,70.9
13.8,62.8
22,53.9
29.8,45
29.6,38.6
26.1,29
23.2,30.9
17.5,36.8
25.1,38.8
26.2,47.2
14.7,65.7
15.7,77.1
11.5,64.6
11.9,47.7
10.8,27.6
5.7,30.3
11,34.3
20.3,26.3
18.2,25.2
13.2,17.2
21.7,29.8
26.8,36.3
22.9,29.3
15.8,27.8
8.8,26.3
7.6,45.6
16.8,36.1
23.6,27.2
31.5,24.1
25.4,36.2
24.2,37.5
4.5,28
25.5,34.4
24.1,36.8
8.2,47.9
8.8,41.5
15.9,36.9
19.8,31.4
26.1,34.1
19.3,36.5
9.9,32.3
18.6,32.3
24.1,33.5
29.2,31.2
30,26
1.3,30.4
13.6,28.8
21.5,19.9
17.2,16.6
25.8,23.2
21.8,22.8
10.2,17.3
22.4,18
22.5,19.9
44.6,29.7
19.6,29.3
16.6,14
22.3,25.8
8.7,25.2
13.3,18.5
17.2,16.4
9.5,18.6
18.7,32.5
29.5,24.2
20.5,18.9
4.3,15.5
4.2,26.4
15.2,25.9
24.4,21.2
19.2,25
11,62.1
7.6,80.6
9.2,71.4
10.2,55.5
6,42.9
6,40.8
12.1,41.7
11.6,31.5
15.7,23.6
5.5,21.4
8.2,16.1
25.9,15.6
25.6,23.7
5.7,42.3
6,47.2
7.2,47.1
22.2,34.3
22.9,39.1
27.6,39.6
36.9,46.7
15.7,73.8
14.5,79.8
19.5,50.9
16.7,49
8.7,58.4
8,23.8
19.2,26.9
22.6,27.3
23.6,25.7
14.7,59.4
6.2,63.1
14.5,42.8
23.4,33.8
17.9,40.4
13.2,24.7
10.7,27.2
20.1,35.4
23.9,30
6.6,58.6
5.6,50.6
10.3,73.7
1.1,66.8
6.4,62.5
12.6,44.8
10.9,49
5.2,66.9
8.6,62
16,48.9
26.9,43.2
11.6,52.6
14.1,46.4
7.3,35.3
14.1,64.8
3.8,60.3
7.2,46.5
30,48.7
13.2,45.1
18,46.9
5.6,39.8
11.2,27.6
19,27
17,21.6
4.2,30.3
12.7,28.3
18.8,24
19.5,24.5
19.7,21.9
13.4,20.9
13.4,24
12.6,37.3
27.1,35
24.6,30.6
17.2,38.6
9.6,54.1
8.3,48.7
10.8,43.4
6.4,49.9
5.3,55.3
9.4,28.1
13.4,27.5
11.1,32.4
12.7,43.8
9.5,38.9
22.8,19.3
22.9,19.1
9.1,20
3.3,41.6
4.6,38.6
6.3,25.8
19,23.6
7,44.3
14.1,29.8
21.2,20.3
8.8,41.3
4.6,47.2
14.4,29.7
21.6,17.9
15,16.1
16.6,14.4
11.4,17.3
17,47.1
23.4,45.3
18.8,46.3
19.4,49.3
15.6,84.3
11.8,72.9
17.9,73.4
13.6,68
10.5,48.9
10.2,41.4
1.8,30.6
3.2,28
8.2,25.3
21.3,33
25.6,36
23.5,41
25.6,34
23,34.8
25.2,35.6
8.3,52.5
3.5,63.1
3.2,51.9
14.3,37
17.2,32.4
9.8,39.6
10.8,69.2
13.7,50
17,39
22.6,40.5
18.3,33
24.6,22.4
21.1,27.3
11.9,22.7
5.7,39.9
14.2,33
16.2,27
17.7,24.6
19.7,21.4
31.8,20.1
9.6,51.6
5.7,54.4
6.5,37.3
6.3,36.8
4.7,33.1
13.7,61.4
10.1,60.7
21.1,43.9
33.4,41.6
24.5,34.2
14.2,35.8
9.3,40.7
15.4,30.4
18.5,24.9
13.9,30.2
14.8,31.1
16.1,22.4
20,20.9
5.2,28.2
6.1,58.8
7.6,64.3
9.1,34.5
10.2,30.8
14.2,27.6
12.7,25.5
10.5,58
7.6,74.5
12.6,71.7
26.8,59.3
23.3,46.8
13.8,36.9
4.5,25.9
8.6,24.1
13.7,37.3
13.4,49.1
8.2,54.9
2.6,54.2
12.2,46.7
-0.2,41
1.3,40.2
6.3,26.6
10.2,24.5
17.3,20
20.9,18.5
15.2,17.1
17,23.4
23.8,20.7
32,20.2
40.2,20.5
22.5,38.1
7.9,52.7
17.4,53.8
19.4,40.8
13.8,28.7
17.2,17.6
22,15
23.1,15.6
19.5,18.6
22.1,15.1
5.3,34.6
13.6,67.1
16.5,75.9
16.3,65.4
22.3,50.3
11.6,47.7
7.6,43.4
6.9,61.5
15.2,43.9
15.2,20.2
25.7,38.8
9.8,31.9
9.6,26.2
12.5,27.4
22.2,26
12.1,21.3
6.8,26.9
8.2,21.1
13.7,19.4
10.2,13
10.7,12
13.2,13.5
13.3,13.6
18.8,18.2
18.1,24
13.7,35.9
4.6,65.1
14.1,67.5
23.6,71.3
9.7,45.7
11.5,58.4
18.3,42.3
19.2,28.8
11.3,15.2
17.7,18
24.1,16.1
16.3,9.3
17.5,10
21.2,21.7
15.8,10
8.8,8.7
