nitrogen,ozone
3.8,23
9.4,17
21.8,11
11.2,18
15.1,11
14.1,16
9.1,26
5.2,35
7.9,27
9.3,26
16,23
22.8,12
20.3,16
11.9,29
8.3,33
14.3,27
12.1,21
19,16
20.1,17
12.5,22
11.4,28
23.4,14
33,12
8.2,25
16,24
6.4,28
11.1,21
16.2,21
17.2,17
7.4,29
5.3,34
2.8,37
4.5,34
16.6,21
20.1,17
18.7,18
18.7,21
13.8,21
23.8,15
27.3,11
23.6,14
17.8,19
27.6,16
24.5,17
14.2,23
15.3,20
22.4,15
25.4,18
21.8,19
18.8,21
16.4,23
8.1,23
7.8,35
4.4,36
19.8,21
17.7,23
20,28
25,19
15.2,29
16.1,27
33.3,8
20.7,16
4.2,23
15.8,14
9.2,25
11,26
15.2,21
7.3,15
12.5,12
16.4,14
9.4,24
13,20
9.4,21
16.4,14
20.9,10
5,24
1.4,35
7.9,23
17,14
25.9,7
22.6,9
12.1,16
13.6,14
15.2,14
1.5,37
13.8,19
14.8,16
16.3,14
12.8,17
9.2,23
8.9,17
5.9,24
4.4,35
9.5,25
4.7,31
7.5,25
7,21
9.1,25
23.4,16
28.2,9
14.3,18
14.2,21
33.7,11
24.9,9
4.4,22
7.5,15
4.1,27
3,32
-0.3,39
6.4,37
15.6,20
4.1,36
7,36
18.4,22
8.6,34
13.7,25
23.9,16
23.1,17
14.6,27
15.8,23
38.6,11
33.9,11
24.8,20
15.4,20
11.7,27
7.5,30
13.1,22
32.8,12
24.2,14
16.2,29
8.4,28
5.7,28
7.5,27
22.6,18
18.8,19
8.1,31
14.2,25
3.9,43
4.1,36
7.9,24
8.4,14
3.4,34
3.3,46
10.9,35
19.8,33
13,26
7,30
23.8,11
28.2,9
28.4,22
13.3,19
12.5,16
11.3,22
13.8,19
22,14
29.8,10
29.6,7
26.1,14
23.2,15
17.5,22
25.1,20
26.2,15
14.7,14
15.7,17
11.5,20
11.9,27
10.8,29
5.7,34
11,25
20.3,23
18.2,20
13.2,27
21.7,14
26.8,12
22.9,17
15.8,23
8.8,23
7.6,13
16.8,13
23.6,15
31.5,7
25.4,11
24.2,12
4.5,29
25.5,11
24.1,8
8.2,28
8.8,26
15.9,15
19.8,16
26.1,13
19.3,21
9.9,29
18.6,20
24.1,15
29.2,13
30,16
1.3,39
13.6,23
21.5,15
17.2,21
25.8,16
21.8,19
10.2,31
22.4,17
22.5,23
44.6,14
19.6,19
16.6,22
22.3,23
8.7,30
13.3,27
17.2,24
9.5,31
18.7,25
29.5,16
20.5,24
4.3,36
4.2,32
15.2,23
24.4,15
19.2,11
11,11
7.6,14
9.2,18
10.2,17
6,25
6,33
12.1,25
11.6,31
15.7,28
5.5,45
8.2,40
25.9,22
25.6,16
5.7,39
6,33
7.2,32
22.2,22
22.9,15
27.6,21
36.9,5
15.7,10
14.5,8
19.5,13
16.7,13
8.7,17
8,28
19.2,13
22.6,12
23.6,9
14.7,18
6.2,28
14.5,21
23.4,15
17.9,16
13.2,24
10.7,22
20.1,14
23.9,10
6.6,32
5.6,30
10.3,25
1.1,29
6.4,27
12.6,26
10.9,18
5.2,18
8.6,21
16,18
26.9,10
11.6,24
14.1,12
7.3,26
14.1,15
3.8,28
7.2,25
30,13
13.2,18
18,16
5.6,30
11.2,28
19,16
17,19
4.2,37
12.7,23
18.8,20
19.5,24
19.7,26
13.4,29
13.4,31
12.6,25
24.6,26
17.2,21
9.6,28
8.3,24
10.8,19
6.4,25
5.3,34
9.4,42
13.4,29
11.1,28
12.7,20
9.5,32
22.8,24
22.9,18
9.1,31
3.3,32
4.6,39
6.3,45
19,27
7,34
14.1,29
21.2,21
8.8,33
4.6,40
14.4,29
21.6,21
15,32
16.6,28
11.4,33
17,16
23.4,10
18.8,13
19.4,7
15.6,20
11.8,17
17.9,10
13.6,14
10.5,21
10.2,20
1.8,30
3.2,37
8.2,32
21.3,16
25.6,12
23.5,11
25.6,11
23,10
25.2,9
8.3,34
3.5,33
3.2,33
14.3,21
17.2,20
9.8,23
10.8,23
13.7,20
17,17
22.6,11
18.3,16
24.6,15
21.1,15
11.9,25
5.7,31
14.2,22
16.2,17
17.7,11
19.7,11
31.8,3
9.6,11
5.7,18
6.5,24
6.3,29
4.7,31
10.1,23
21.1,18
33.4,13
24.5,21
14.2,21
9.3,25
15.4,28
18.5,23
13.9,29
14.8,25
16.1,27
20,16
5.2,33
6.1,33
7.6,28
9.1,27
10.2,27
14.2,26
12.7,23
10.5,22
7.6,17
12.6,20
26.8,15
23.3,15
13.8,24
4.5,33
8.6,31
13.7,24
13.4,23
8.2,19
2.6,22
12.2,20
-0.2,33
1.3,32
6.3,32
10.2,25
17.3,20
20.9,15
15.2,19
17,16
23.8,17
32,10
40.2,7
22.5,18
7.9,19
17.4,17
19.4,17
13.8,25
17.2,20
22,17
23.1,13
19.5,15
22.1,17
5.3,29
13.6,16
16.5,10
16.3,17
22.3,15
11.6,22
7.6,32
6.9,31
15.2,25
15.2,24
25.7,7
9.8,33
9.6,26
12.5,32
22.2,21
12.1,28
6.8,28
8.2,37
13.7,29
10.2,29
10.7,31
13.2,29
13.3,26
18.8,20
18.1,21
13.7,23
4.6,26
14.1,25
23.6,14
9.7,32
11.5,26
18.3,24
19.2,26
11.3,36
17.7,22
24.1,16
16.3,27
17.5,27
21.2,15
15.8,24
8.8,37
