nitrogen,pm10
3.8,12.3
9.4,14.7
21.8,17.9
11.2,13.7
15.1,14.6
14.1,14.5
9.1,15.8
5.2,12
7.9,13.5
9.3,14.9
16,20
22.8,21.1
20.3,17.2
11.9,19.2
8.3,18.5
14.3,20.6
12.1,19.3
19,26.5
20.1,31.4
12.5,22.7
11.4,21.8
23.4,31.3
33,47.4
8.2,49.2
16,22.1
6.4,18.8
11.1,16
16.2,20.5
17.2,20
7.4,29.2
5.3,25.9
2.8,30.8
4.5,19
16.6,15.7
20.1,21
18.7,23.1
18.7,21.4
13.8,16.7
23.8,31.6
27.3,35.5
23.6,34.2
17.8,25.2
27.6,38
24.5,36.8
14.2,22.6
15.3,22
22.4,27.9
25.4,38.8
21.8,41.2
18.8,31
16.4,26.8
8.1,30.6
7.8,49
4.4,26.5
19.8,28.9
17.7,26.3
20,34.9
25,32.4
15.2,26.4
16.1,28.3
33.3,55.7
20.7,32.7
4.2,15.8
15.8,30.2
9.2,16.2
11,21.2
15.2,30.5
7.3,20.1
12.5,19.6
16.4,22.5
9.4,23.2
13,23.1
9.4,20.8
16.4,28.1
20.9,35.4
5,54.5
1.4,149.9
7.9,24.8
17,33.3
25.9,57.5
22.6,41.8
12.1,17.5
13.6,19.3
15.2,26.3
1.5,13.7
13.8,20.3
14.8,18.5
16.3,19.5
12.8,19.4
9.2,16.3
8.9,16.4
5.9,14.4
4.4,12.8
9.5,17.2
4.7,14.7
7.5,15.5
7,20.6
9.1,16.2
23.4,32.9
28.2,38.3
14.3,19.5
14.2,15.7
33.7,41.4
24.9,34.1
4.4,23.4
7.5,18.1
4.1,14.9
3,19.8
-0.3,16.2
6.4,13.2
15.6,26.8
7.5,58.4
13.1,24
32.8,47.8
24.2,41.7
16.2,44
8.4,83.9
5.7,17.7
7.5,14.2
22.6,24.7
18.8,22.2
8.1,29.8
14.2,94.3
3.9,15
4.1,13.3
7.9,17.3
8.4,20.3
3.4,81.8
3.3,19.9
10.9,22
19.8,37.7
13,29
7,129.7
23.8,48
28.2,53.4
28.4,34.3
13.3,42.6
12.5,20.5
11.3,17.4
13.8,17.6
22,36
29.8,42.3
29.6,47.1
26.1,42.5
23.2,35.4
17.5,36.1
25.1,42.8
26.2,41.3
14.7,29.7
15.7,16.9
11.5,17.9
11.9,18.3
10.8,23.2
5.7,22.7
11,17.5
20.3,31.5
18.2,39.3
13.2,18.5
21.7,35.3
26.8,39.9
22.9,30.4
15.8,21.6
8.8,27.1
7.6,21
16.8,27.9
23.6,27.6
31.5,44.5
25.4,42
24.2,34
4.5,19.2
25.5,51
24.1,51.6
8.2,33
8.8,25.7
15.9,26.3
19.8,35.7
26.1,39.4
19.3,36.6
9.9,22.9
18.6,27.9
24.1,37.1
29.2,47.5
30,54.3
1.3,47.3
13.6,26.4
21.5,37.6
17.2,26.3
25.8,35.1
21.8,39
10.2,22.2
22.4,28.8
22.5,28.4
44.6,55.9
19.6,37.8
16.6,29
22.3,45.7
8.7,31.4
13.3,22.7
17.2,29.9
9.5,28.3
18.7,46.2
29.5,45.2
20.5,35.1
4.3,65.6
4.2,26.7
15.2,32.9
24.4,39.4
19.2,43.6
11,23.5
7.6,15.1
9.2,17.5
10.2,22
6,33.2
6,20
12.1,29
11.6,30.2
15.7,29.5
5.5,25.8
8.2,18.5
25.9,38.7
25.6,61.9
5.7,36
6,18.3
7.2,17.9
22.2,33.2
22.9,34.8
27.6,46.7
36.9,63.3
15.7,23.2
14.5,30.7
19.5,25.9
16.7,24
8.7,24
8,33.5
19.2,35
22.6,39.8
23.6,35.4
14.7,22.5
6.2,14.6
14.5,16.7
23.4,35.9
17.9,24.2
13.2,17.7
10.7,18.7
20.1,33.8
23.9,38.1
6.6,19.5
5.6,15.7
10.3,16
1.1,12.6
6.4,15.5
12.6,35.7
10.9,28.2
5.2,17.4
8.6,16.8
16,24.5
26.9,35.4
11.6,16.8
14.1,25.6
7.3,24.6
14.1,24.7
3.8,17.3
7.2,16.6
30,41.6
13.2,26.7
18,27.8
5.6,49.6
11.2,19.8
19,29.1
17,59.3
4.2,20.5
12.7,21.1
18.8,23.6
19.5,29
19.7,35.6
13.4,23
13.4,30
12.6,38.2
27.1,58.8
24.6,44.9
17.2,30.1
9.6,17.6
8.3,24.3
10.8,19.6
6.4,22.4
5.3,49.7
9.4,20.4
13.4,28.9
11.1,30.1
12.7,27
9.5,34.9
22.8,28.8
22.9,34
9.1,25.5
3.3,24.7
4.6,40.7
6.3,17.4
19,30.2
7,27.1
14.1,24.4
21.2,35.2
8.8,68.9
4.6,15.6
14.4,17.5
21.6,26.8
15,22.2
16.6,22.3
11.4,23.3
17,18.8
23.4,25
18.8,19.2
19.4,24.4
15.6,11.8
11.8,17.8
17.9,28.7
13.6,15.8
10.5,12.3
10.2,15.7
1.8,25.3
3.2,11.8
8.2,12.8
21.3,19
25.6,36
23.5,31.2
25.6,30.9
23,28.6
25.2,51.3
8.3,14.6
3.5,9.8
3.2,8.3
14.3,12.9
17.2,23.9
9.8,12.8
10.8,15.2
13.7,10.3
17,14.2
22.6,25.2
18.3,26.5
24.6,17.8
21.1,17.1
11.9,22.8
5.7,21
14.2,15.9
16.2,27.3
17.7,25
19.7,32.5
31.8,55.5
9.6,25.8
5.7,16.5
6.5,13.7
6.3,13.9
4.7,12.9
13.7,15.1
10.1,11.1
21.1,19.4
33.4,36.1
24.5,24.5
14.2,17.4
9.3,21.7
15.4,15.6
18.5,22.8
13.9,19.3
14.8,20.1
16.1,17.4
20,29.7
5.2,42.2
6.1,12.6
7.6,10.2
9.1,19.6
10.2,15.9
14.2,17.9
12.7,19.6
10.5,16.2
7.6,12.2
12.6,17.7
26.8,48.5
23.3,33.5
13.8,16.7
4.5,12.1
8.6,15.3
13.7,27.4
13.4,29.5
8.2,35.1
2.6,16.6
12.2,26.2
-0.2,23.7
1.3,11.7
6.3,16
10.2,23.1
17.3,21.2
20.9,25.6
15.2,28.2
17,29.9
23.8,31.5
32,41.6
40.2,55.6
22.5,42
7.9,12.4
17.4,19.4
19.4,21.8
13.8,19.6
17.2,23.8
22,26.3
23.1,32.7
19.5,28.5
22.1,44.5
5.3,59.4
13.6,21.1
16.5,15.9
16.3,21.8
22.3,24.4
11.6,59.1
7.6,19.5
6.9,15.7
15.2,12.3
15.2,18.4
25.7,33.2
9.8,17.1
9.6,14.9
12.5,18.8
22.2,27.7
12.1,19.9
6.8,16.9
8.2,17.6
13.7,18.7
10.2,19.8
10.7,17.8
13.2,18.3
13.3,19.5
18.8,21.6
18.1,27.9
13.7,23.7
4.6,17.4
14.1,20.3
23.6,24.9
9.7,13.3
11.5,14.2
18.3,19.2
19.2,39.1
11.3,21.7
17.7,16.1
24.1,24.2
16.3,18.8
17.5,30.8
21.2,34.7
15.8,28.1
8.8,24.6
