ozone,carbon 
20,0.3
15,0.4
13,0.5
16,0.7
39,0.2
23,0.3
15,0.6
21,0.4
16,0.6
19,0.5
31,0.3
17,0.5
23,0.4
14,0.8
19,0.5
22,0.4
23,0.4
30,0.2
27,0.3
24,0.4
31,0.2
25,0.4
16,0.5
24,0.3
36,0.2
32,0.2
23,0.3
15,0.5
11,0.5
11,0.3
14,0.3
18,0.3
17,0.5
25,0.2
33,0.2
25,0.3
31,0.3
28,0.3
45,0.1
40,0.2
22,0.5
16,0.5
39,0.2
33,0.3
32,0.3
22,0.5
15,0.5
21,0.7
5,0.8
10,0.5
8,0.7
11,0.7
13,0.6
13,0.4
17,0.3
28,0.3
13,0.5
12,0.7
9,0.5
18,0.4
28,0.3
21,0.3
15,0.6
16,0.4
24,0.3
22,0.3
14,0.6
10,0.8
32,0.3
30,0.3
25,0.3
29,0.2
27,0.3
26,0.6
18,0.5
18,0.3
21,0.3
18,0.4
10,0.6
14,0.5
24,0.3
12,0.4
26,0.3
15,0.4
28,0.3
25,0.3
35,0.2
23,0.4
13,0.7
18,0.4
16,0.4
30,0.2
28,0.3
16,0.5
19,0.5
37,0.2
23,0.3
20,0.4
24,0.4
26,0.5
29,0.4
31,0.3
25,0.3
26,0.5
21,0.4
28,0.3
24,0.2
19,0.3
25,0.2
34,0.2
42,0.3
29,0.2
28,0.3
20,0.4
32,0.3
24,0.4
18,0.4
31,0.3
32,0.3
39,0.2
45,0.2
27,0.4
34,0.2
29,0.4
21,0.5
33,0.3
40,0.2
29,0.4
21,0.4
32,0.3
28,0.3
33,0.3
16,0.4
10,0.5
13,0.3
7,0.4
20,0.3
16,0.5
10,0.5
19,0.3
20,0.4
17,0.4
10,0.5
14,0.3
21,0.2
20,0.3
30,0.2
37,0.2
32,0.2
16,0.3
12,0.5
11,0.4
11,0.5
10,0.6
9,0.8
7,0.7
23,0.3
34,0.3
33,0.2
33,0.2
21,0.3
20,0.4
23,0.2
23,0.4
20,0.3
17,0.3
11,0.5
16,0.3
15,0.4
15,0.4
25,0.3
31,0.2
22,0.4
17,0.5
11,0.4
11,0.5
3,0.8
11,0.3
18,0.3
24,0.3
29,0.3
31,0.2
23,0.2
18,0.3
13,0.5
21,0.3
21,0.2
25,0.2
28,0.2
23,0.3
29,0.2
25,0.2
27,0.2
16,0.4
33,0.2
33,0.2
28,0.2
27,0.2
27,0.2
26,0.3
23,0.3
22,0.3
17,0.2
20,0.4
15,0.8
15,0.5
24,0.3
33,0.2
31,0.2
24,0.3
23,0.3
19,0.3
22,0.2
20,0.4
33,0.2
32,0.2
32,0.2
25,0.3
20,0.5
15,0.7
19,0.8
23,0.2
31,0.1
25,0.2
17,0.3
16,0.3
14,0.4
10,0.6
7,0.6
6,0.8
13,0.4
30,0.1
29,0.1
29,0.2
13,0.4
26,0.2
17,0.2
8,0.5
17,0.3
22,0.2
17,0.2
13,0.4
17,0.2
34,0.1
24,0.2
11,0.4
17,0.2
20,0.3
11,0.5
26,0.3
27,0.2
19,0.3
13,0.5
21,0.2
28,0.1
15,0.4
16,0.4
17,0.3
10,0.4
7,0.6
18,0.3
19,0.2
17,0.2
17,0.2
25,0.2
20,0.2
17,0.3
13,0.3
15,0.3
17,0.4
29,0.1
16,0.2
10,0.2
17,0.3
15,0.4
22,0.2
32,0.1
31,0.2
25,0.2
24,0.2
7,0.4
33,0.2
26,0.2
32,0.2
21,0.2
28,0.1
28,0.1
37,0.1
29,0.2
29,0.2
31,0.1
29,0.1
26,0.1
20,0.1
21,0.2
23,0.2
26,0.1
25,0.3
14,0.4
32,0.1
26,0.2
24,0.2
26,0.3
36,0.2
22,0.2
16,0.2
27,0.2
27,0.2
15,0.3
24,0.2
37,0.1
