pm10,carbon 
27.9,0.3
37.1,0.4
47.5,0.5
54.3,0.7
47.3,0.2
26.4,0.3
37.6,0.6
26.3,0.4
35.1,0.6
39,0.5
22.2,0.3
28.8,0.5
28.4,0.4
55.9,0.8
37.8,0.5
29,0.4
45.7,0.4
31.4,0.2
22.7,0.3
29.9,0.4
28.3,0.2
46.2,0.4
45.2,0.5
35.1,0.3
65.6,0.2
26.7,0.2
32.9,0.3
39.4,0.5
43.6,0.5
23.5,0.3
15.1,0.3
17.5,0.3
22,0.5
33.2,0.2
20,0.2
29,0.3
30.2,0.3
29.5,0.3
25.8,0.1
18.5,0.2
38.7,0.5
61.9,0.5
36,0.2
18.3,0.3
17.9,0.3
33.2,0.5
34.8,0.5
46.7,0.7
63.3,0.8
23.2,0.5
30.7,0.7
28.8,0.7
25.9,0.6
24,0.4
24,0.3
33.5,0.3
35,0.5
39.8,0.7
35.4,0.5
22.5,0.4
14.6,0.3
16.7,0.3
35.9,0.6
24.2,0.4
17.7,0.3
18.7,0.3
33.8,0.6
38.1,0.8
19.5,0.3
15.7,0.3
16,0.3
12.6,0.2
15.5,0.3
35.7,0.6
28.2,0.5
17.4,0.3
16.8,0.3
24.5,0.4
35.4,0.6
29,0.5
16.8,0.3
25.6,0.4
24.6,0.3
24.7,0.4
17.3,0.3
16.6,0.3
17.2,0.2
20.4,0.4
41.6,0.7
26.7,0.4
27.8,0.4
49.6,0.2
19.8,0.3
29.1,0.5
59.3,0.5
20.5,0.2
21.1,0.3
23.6,0.4
29,0.4
35.6,0.5
23,0.4
30,0.3
38.2,0.3
58.8,0.7
44.9,0.5
30.1,0.4
17.6,0.3
24.3,0.2
19.6,0.3
22.4,0.2
49.7,0.2
20.4,0.3
28.9,0.2
30.1,0.3
27,0.4
34.9,0.3
28.8,0.4
34,0.4
25.5,0.3
24.7,0.3
40.7,0.2
17.4,0.2
30.2,0.4
27.1,0.2
24.4,0.4
35.2,0.5
68.9,0.3
15.6,0.2
17.5,0.4
26.8,0.4
22.2,0.3
22.3,0.3
23.3,0.3
18.8,0.4
25,0.5
19.2,0.3
24.4,0.4
15.2,0.3
24.7,0.5
25.3,0.5
19.3,0.3
11.8,0.4
17.8,0.4
28.7,0.5
15.8,0.3
12.3,0.2
15.7,0.3
25.3,0.2
11.8,0.2
12.8,0.2
19,0.3
36,0.5
31.2,0.4
30.9,0.5
28.6,0.6
51.3,0.8
31.8,0.7
12.2,0.3
14.2,0.4
14.6,0.3
9.8,0.2
8.3,0.2
12.9,0.3
23.9,0.4
12.8,0.2
15.2,0.4
10.3,0.3
14.2,0.3
25.2,0.5
26.5,0.3
17.8,0.4
17.1,0.4
22.8,0.3
21,0.2
15.9,0.4
27.3,0.5
25,0.4
32.5,0.5
55.5,0.8
25.8,0.3
16.5,0.3
13.7,0.3
13.9,0.3
12.9,0.2
15.1,0.3
11.1,0.2
19.4,0.3
36.1,0.5
24.5,0.3
17.4,0.2
21.7,0.2
15.6,0.2
22.8,0.3
19.3,0.2
20.1,0.2
17.4,0.2
29.7,0.4
42.2,0.2
12.6,0.2
10.2,0.2
19.6,0.2
15.9,0.2
17.9,0.3
19.6,0.3
16.2,0.3
12.2,0.2
17.7,0.4
48.5,0.8
33.5,0.5
16.7,0.3
12.1,0.2
15.3,0.2
27.4,0.3
29.5,0.3
35.1,0.3
16.6,0.2
26.2,0.4
23.7,0.2
11.7,0.2
16,0.2
23.1,0.3
21.2,0.5
25.6,0.7
28.2,0.8
24.3,0.2
17.1,0.1
19.9,0.2
30.2,0.3
34.2,0.3
30.9,0.4
44.9,0.6
45.6,0.6
72.3,0.8
41.9,0.4
14.7,0.1
16.4,0.1
17.9,0.2
43.1,0.4
17.9,0.2
15.8,0.2
33.7,0.5
28.3,0.3
19.6,0.2
19.6,0.2
30.9,0.4
24,0.2
55.4,0.1
20.2,0.2
32.5,0.4
20.2,0.2
24.8,0.3
46.3,0.5
25.7,0.3
18.7,0.2
18.9,0.3
33.9,0.5
19.8,0.2
13.8,0.1
32.6,0.4
29.9,0.4
31.5,0.3
41.6,0.4
55.6,0.6
42,0.3
12.4,0.2
19.4,0.2
21.8,0.2
19.6,0.2
23.8,0.2
26.3,0.3
32.7,0.3
28.5,0.3
44.5,0.4
59.4,0.1
21.1,0.2
15.9,0.2
21.8,0.3
24.4,0.4
59.1,0.2
19.5,0.1
15.7,0.2
12.3,0.2
18.4,0.2
33.2,0.4
17.1,0.2
14.9,0.2
18.8,0.2
27.7,0.2
19.9,0.1
16.9,0.1
17.6,0.1
18.7,0.2
19.8,0.2
17.8,0.1
18.3,0.1
19.5,0.1
21.6,0.1
27.9,0.2
23.7,0.2
17.4,0.1
20.3,0.3
24.9,0.4
13.3,0.1
14.2,0.2
19.2,0.2
39.1,0.3
21.7,0.2
16.1,0.2
24.2,0.2
18.8,0.2
30.8,0.2
34.7,0.3
28.1,0.2
24.6,0.1
