sulfur,nitrogen
0.4,3.8
0.5,9.4
0.9,21.8
0.9,11.2
1,15.1
1,14.1
0.9,9.1
0.9,5.2
0.7,7.9
0.5,9.3
0.6,16
0.7,22.8
0.7,20.3
0.7,11.9
0.7,8.3
0.6,14.3
0.6,12.1
0.9,19
1.3,20.1
0.9,12.5
0.5,11.4
1,23.4
1.7,33
1,8.2
0.9,16
0.6,6.4
0.6,11.1
0.8,16.2
0.9,17.2
0.8,7.4
0.6,5.3
0.7,2.8
0.7,4.5
0.7,16.6
0.6,20.1
0.7,18.7
0.6,18.7
0.5,13.8
0.7,23.8
0.9,27.3
0.9,23.6
0.5,17.8
0.8,27.6
1,24.5
0.6,14.2
0.5,15.3
0.9,22.4
1.3,25.4
1.1,21.8
0.9,18.8
0.9,16.4
1,8.1
1,7.8
0.8,4.4
1,19.8
0.9,17.7
1.2,20
1.1,25
0.7,15.2
0.7,16.1
2.7,33.3
1.3,20.7
0.9,4.2
1.1,15.8
0.9,9.2
1,11
1.1,15.2
0.7,7.3
0.9,12.5
1,16.4
0.6,9.4
0.8,13
0.6,9.4
1,16.4
1.5,20.9
0.9,5
0.7,1.4
0.6,7.9
0.7,17
1.5,25.9
1.1,22.6
0.8,12.1
1,13.6
1.4,15.2
0.5,1.5
0.4,13.8
0.4,14.8
0.6,16.3
0.3,12.8
0.4,9.2
0.6,8.9
0.9,5.9
0.7,4.4
0.7,9.5
0.7,4.7
0.9,7.5
0.8,7
0.6,9.1
1.4,23.4
2,28.2
1.2,14.3
1.2,14.2
2.2,33.7
1.9,24.9
1,4.4
0.9,7.5
0.8,4.1
0.7,3
0.8,-0.3
0.3,6.4
0.8,15.6
0.6,4.1
0.4,7
0.6,18.4
0.4,8.6
0.3,13.7
1,23.9
0.7,23.1
0.3,14.6
0.2,15.8
1.8,38.6
1.1,33.9
0.8,24.8
0.9,15.4
1,11.7
0.9,7.5
0.9,13.1
1.6,32.8
1.3,24.2
1.3,16.2
0.6,8.4
0.6,5.7
0.6,7.5
0.8,22.6
0.8,18.8
0.8,8.1
0.9,14.2
0.5,3.9
0.4,4.1
0.4,7.9
0.7,8.4
0.7,3.4
0.6,3.3
0.6,10.9
0.7,19.8
0.7,13
0.6,7
1.7,23.8
1.5,28.2
1.3,28.4
1,13.3
1,12.5
0.7,11.3
0.7,13.8
1,22
1.4,29.8
1.4,29.6
1.4,26.1
1.5,23.2
1.3,17.5
1.1,25.1
1.6,26.2
0.9,14.7
0.4,15.7
0.4,11.5
0.5,11.9
0.6,10.8
0.4,5.7
0.4,11
1.3,20.3
1.4,18.2
1,13.2
1.2,21.7
1.4,26.8
1.3,22.9
1.1,15.8
1,8.8
0.8,7.6
1,16.8
1.2,23.6
1.7,31.5
1.8,25.4
1.5,24.2
1,4.5
1.8,25.5
2,24.1
1.8,8.2
