sulfur,pm10
0.4,12.3
0.5,14.7
0.9,17.9
0.9,13.7
1,14.6
1,14.5
0.9,15.8
0.9,12
0.7,13.5
0.5,14.9
0.6,20
0.7,21.1
0.7,17.2
0.7,19.2
0.7,18.5
0.6,20.6
0.6,19.3
0.9,26.5
1.3,31.4
0.9,22.7
0.5,21.8
1,31.3
1.7,47.4
1,49.2
0.9,22.1
0.6,18.8
0.6,16
0.8,20.5
0.9,20
0.8,29.2
0.6,25.9
0.7,30.8
0.7,19
0.7,15.7
0.6,21
0.7,23.1
0.6,21.4
0.5,16.7
0.7,31.6
0.9,35.5
0.9,34.2
0.5,25.2
0.8,38
1,36.8
0.6,22.6
0.5,22
0.9,27.9
1.3,38.8
1.1,41.2
0.9,31
0.9,26.8
1,30.6
1,49
0.8,26.5
1,28.9
0.9,26.3
1.2,34.9
1.1,32.4
0.7,26.4
0.7,28.3
2.7,55.7
1.3,32.7
0.9,15.8
1.1,30.2
0.9,16.2
1,21.2
1.1,30.5
0.7,20.1
0.9,19.6
1,22.5
0.6,23.2
0.8,23.1
0.6,20.8
1,28.1
1.5,35.4
0.9,54.5
0.7,149.9
0.6,24.8
0.7,33.3
1.5,57.5
1.1,41.8
0.8,17.5
1,19.3
1.4,26.3
0.5,13.7
0.4,20.3
0.4,18.5
0.6,19.5
0.3,19.4
0.4,16.3
0.6,16.4
0.9,14.4
0.7,12.8
0.7,17.2
0.7,14.7
0.9,15.5
0.8,20.6
0.6,16.2
1.4,32.9
2,38.3
1.2,19.5
1.2,15.7
2.2,41.4
1.9,34.1
1,23.4
0.6,11.6
0.8,20.6
0.7,19.3
0.9,18.1
0.8,14.9
0.7,19.8
0.8,16.2
0.3,13.2
0.8,26.8
0.9,58.4
0.9,24
1.6,47.8
1.3,41.7
1.3,44
0.6,83.9
0.6,17.7
0.6,14.2
0.8,24.7
0.8,22.2
0.8,29.8
0.9,94.3
0.5,15
0.4,13.3
0.4,17.3
0.7,20.3
0.7,81.8
0.6,19.9
0.6,22
0.7,37.7
0.7,29
0.6,129.7
1.7,48
1.5,53.4
1.2,38.2
1.3,34.3
1,42.6
1,20.5
0.7,17.4
0.7,17.6
1,36
1.4,42.3
1.4,47.1
1.4,42.5
1.5,35.4
1.3,36.1
1.1,42.8
1.6,41.3
0.9,29.7
0.4,16.9
0.4,17.9
0.5,18.3
0.6,23.2
0.4,22.7
0.4,17.5
1.3,31.5
1.4,39.3
1,18.5
1.2,35.3
1.4,39.9
1.3,30.4
1.1,21.6
1,27.1
0.8,21
1,27.9
1.2,27.6
1.7,44.5
1.8,42
1.5,34
1,19.2
1.8,51
2,51.6
1.8,33
