sulfur,temp
0.4,38.4
0.5,37.9
0.9,38.4
0.9,42.2
1,43.9
1,47.9
0.9,46.4
0.9,40.4
0.7,39.4
0.5,39.3
0.6,40.7
0.7,38.8
0.7,41.4
0.7,48.3
0.7,48.9
0.6,44.3
0.6,50.4
0.9,49.4
1.3,54.5
0.9,55.8
0.5,48.5
1,45.9
1.7,48.2
1,54.7
0.9,49.1
0.6,44.6
0.6,41.2
0.8,46.8
0.9,52
0.8,59.1
0.6,60.3
0.7,47.2
0.7,38.7
0.7,36.4
0.6,36.7
0.7,39.9
0.6,43
0.5,47.1
0.7,49.8
0.9,50.7
0.9,54.2
0.5,56.5
0.8,57.5
1,59.7
0.6,60.8
0.5,59
0.9,60.1
1.3,62.3
1.1,67.2
0.9,69.1
0.9,67.5
1,65.2
1,60.7
0.8,51.1
1,46.7
0.9,51.3
1.2,55.7
1.1,60.1
0.7,65.2
0.7,65.3
2.7,45.9
1.3,50.6
0.9,45.2
1.1,47
0.9,48.8
1,54
1.1,52.9
0.7,39.1
0.9,38.5
1,46.9
0.6,58.5
0.8,59
0.6,59.3
1,59.5
1.5,59.7
0.9,65.8
0.7,54
0.6,41
0.7,42
1.5,46.1
1.1,53.8
0.8,49.2
1,51.6
1.4,55.6
0.5,44.5
0.4,42.6
0.4,44.8
0.6,51.3
0.3,46
0.4,45.4
0.6,49.1
0.9,47.4
0.7,45.8
0.7,50.2
0.7,56.4
0.9,55.2
0.8,47.3
0.6,37.7
1.4,47
2,56.8
1.2,60.1
1.2,60.3
2.2,56.4
1.9,58.4
1,57.6
0.6,46.3
0.8,47.7
0.7,46.5
0.9,46.1
0.8,48.9
0.7,50.5
0.8,45.9
0.3,45.5
0.8,54.8
0.6,49.8
0.4,42.9
0.6,41.1
0.4,41.1
0.3,39.3
1,43.3
0.7,47.5
0.3,53.8
0.2,55.7
1.8,54.7
1.1,55.4
0.8,57.8
0.9,60.1
1,60.3
0.9,57.3
0.9,59.5
1.6,61.5
1.3,65.4
1.3,70.7
0.6,59.1
0.6,45.6
0.6,46.2
0.8,46.1
0.8,49.2
0.8,54.9
0.9,55.8
0.5,51.1
0.4,54.1
0.4,59.7
0.7,65
0.7,64.3
0.6,52.2
0.6,53
0.7,55.4
0.7,57.7
0.6,62.7
1.7,59.3
1.5,59.9
1.2,61.3
1.3,61.5
1,51.7
1,42.1
0.7,34.7
0.7,35.3
1,42.1
1.4,44.7
1.4,46
1.4,48
1.5,47.6
1.3,50
1.1,44
1.6,43.7
0.9,46.5
0.4,48.9
0.4,48.2
0.5,52.3
0.6,57.5
0.4,42.4
0.4,43.9
1.3,52.6
1.4,54.8
1,59.1
1.2,53.6
1.4,50.8
1.3,52.1
1.1,55.4
1,55.5
0.8,37.4
1,41.9
1.2,42.4
1.7,47
1.8,48.3
1.5,51.7
1,59.2
1.8,53.4
2,56.1
1.8,53.3
