temp,humidity
38.4,62.8
37.9,75.4
38.4,68.1
42.2,62.6
43.9,83.5
47.9,70.7
46.4,57.6
40.4,69.5
39.4,61.6
39.3,60.7
40.7,51.6
38.8,44.7
41.4,45.7
48.3,31.8
48.9,29
44.3,47.9
50.4,32.7
49.4,31.6
54.5,24.3
55.8,24.9
48.5,29.7
45.9,31.8
48.2,30.6
54.7,22.6
49.1,28
44.6,40
41.2,49.6
46.8,36
52,26.8
59.1,17.1
60.3,19.8
47.2,46.7
38.7,43.9
36.4,33.8
36.7,28.5
39.9,24
43,19
47.1,22.4
49.8,24.1
50.7,24.3
54.2,25.3
56.5,21.6
57.5,20.2
59.7,16.7
60.8,14.3
59,15.6
60.1,18.9
62.3,20.4
67.2,16.9
69.1,16.7
67.5,17.9
65.2,21.8
60.7,36.4
51.1,29.3
46.7,37.3
51.3,24.7
55.7,23.5
60.1,19.4
65.2,12.7
65.3,13.9
45.9,35.4
50.6,36.9
45.2,69.6
47,58.5
48.8,46.9
54,39.9
52.9,46.9
39.1,59.3
38.5,68
46.9,59.8
58.5,37.9
59,33.7
59.3,38.6
59.5,41.5
59.7,35.5
65.8,16.8
54,32
41,31.1
42,29.5
46.1,33.4
53.8,36.4
49.2,73.9
51.6,68.5
55.6,57.3
44.5,49.3
42.6,51.3
44.8,45.5
51.3,43.4
46,58.3
45.4,68.8
49.1,74.4
47.4,75.2
45.8,57.2
50.2,52.1
56.4,39.5
55.2,43.8
47.3,46.2
37.7,37.5
47,38.2
56.8,37.2
60.1,28.5
60.3,25.2
56.4,26.8
58.4,31.2
57.6,62.4
46.3,74.9
47.7,61.2
46.5,69.1
46.1,72
48.9,54
50.5,43.8
45.9,58.7
45.5,47.2
54.8,36.6
49.8,38.3
42.9,31.4
41.1,33.3
41.1,30
39.3,34.4
43.3,29.4
47.5,26.6
53.8,19.1
55.7,20.1
54.7,22.8
55.4,26.5
57.8,27.7
60.1,18.7
60.3,22.8
57.3,33.5
59.5,42.5
61.5,34.9
65.4,28.7
70.7,20
59.1,32.5
45.6,64.9
46.2,62.2
46.1,43.4
49.2,41.2
54.9,36.2
55.8,43.8
51.1,48.6
54.1,45.7
59.7,38.5
65,28.7
64.3,17.4
52.2,16.7
53,14.8
55.4,16.7
57.7,24.7
62.7,17.9
59.3,27.8
59.9,31.5
61.3,29.9
61.5,31.7
51.7,29.6
42.1,78.8
34.7,70.9
35.3,62.8
42.1,53.9
44.7,45
46,38.6
48,29
47.6,30.9
50,36.8
44,38.8
43.7,47.2
46.5,65.7
48.9,77.1
48.2,64.6
52.3,47.7
57.5,27.6
42.4,30.3
43.9,34.3
52.6,26.3
54.8,25.2
59.1,17.2
53.6,29.8
50.8,36.3
52.1,29.3
55.4,27.8
55.5,26.3
37.4,45.6
41.9,36.1
42.4,27.2
47,24.1
48.3,36.2
51.7,37.5
59.2,28
53.4,34.4
56.1,36.8
53.3,47.9
51.2,41.5
49.5,36.9
50.6,31.4
48.9,34.1
47,36.5
32.6,32.3
35.3,32.3
41.3,33.5
46.8,31.2
54,26
45.7,30.4
40.7,28.8
42.3,19.9
46.1,16.6
48.2,23.2
52.6,22.8
50.3,17.3
47.7,18
52.6,19.9
52,29.7
55.3,29.3
58.5,14
52.9,25.8
61,25.2
59.6,18.5
62.9,16.4
62.5,18.6
54.5,32.5
53.2,24.2
56.9,18.9
63.4,15.5
52.2,26.4
52.5,25.9
59,21.2
61.8,25
58.4,62.1
55.1,80.6
54.7,71.4
59.2,55.5
59.8,42.9
55.3,40.8
50.4,41.7
49.4,31.5
54,23.6
47.6,21.4
49.2,16.1
52.5,15.6
55.6,23.7
49.1,42.3
51,47.2
50,47.1
48.5,34.3
46.5,39.1
50.7,39.6
53.2,46.7
49.4,73.8
45.8,79.8
46.4,72.9
46.9,50.9
51.1,49
52.9,58.4
46.1,23.8
42.9,26.9
45,27.3
50.6,25.7
51.1,59.4
50.5,63.1
51.9,42.8
50.8,33.8
50.6,40.4
58.1,24.7
52.8,27.2
52.6,35.4
52.8,30
46.6,58.6
45.5,50.6
38,73.7
32.5,66.8
32.7,62.5
41.6,44.8
38.6,49
31.7,66.9
36.9,62
39,48.9
43.9,43.2
49.3,55.2
48.7,52.6
47.7,46.4
48.9,35.3
49.2,64.8
51.2,60.3
47,46.5
48.4,48.4
48.5,55.4
52.7,48.7
55.1,45.1
53.1,46.9
54.5,39.8
47.9,27.6
48.2,27
56.7,21.6
46.8,30.3
42.9,28.3
45.7,24
46.1,24.5
47,21.9
48.1,20.9
50.7,24
43.9,37.3
49.3,35
55,30.6
55.2,38.6
54.5,54.1
57.8,48.7
59.8,43.4
59,49.9
53,55.3
42.1,28.1
43.4,27.5
47.9,32.4
50.6,43.8
50.8,38.9
44.9,19.3
50.7,19.1
60.7,20
64.1,41.6
55.2,38.6
47.9,25.8
48.1,23.6
37.9,44.3
40.7,29.8
50,20.3
47.1,41.3
41.3,47.2
48,29.7
54.8,17.9
60,16.1
62,14.4
62.6,17.3
44.1,47.1
47.2,45.3
50.4,46.3
52.7,49.3
57.9,47.3
54.4,47.1
55.2,49.2
58,53.9
48.3,84.3
48.3,72.9
47,73.4
48.7,68
55.5,48.9
58.9,41.4
61.3,30.6
47.9,28
39.3,25.3
38.3,33
42.1,36
42.2,41
42.7,34
43.3,34.8
46.9,35.6
46,60.1
49.2,62.8
50.2,56.1
50.6,52.5
41.3,63.1
36.8,51.9
37.7,37
42.6,32.4
44.6,39.6
42.6,69.2
41.7,50
45.1,39
47.2,40.5
47.8,33
44.6,22.4
48.2,27.3
55.1,22.7
46.6,39.9
41.2,33
48.1,27
52.5,24.6
53.6,21.4
56,20.1
51.9,51.6
52.4,54.4
50.4,37.3
50,36.8
49.7,33.1
47.8,61.4
51.8,60.7
49.6,43.9
50.3,41.6
54.3,34.2
53.6,35.8
54,40.7
48.3,30.4
49.8,24.9
50.6,30.2
47.6,31.1
50.8,22.4
51.8,20.9
58.9,28.2
47.4,58.8
33.2,64.3
41.9,34.5
52.1,30.8
56.6,27.6
59.9,25.5
56.7,58
42.8,74.5
40.6,71.7
45.9,59.3
51.8,46.8
55.8,36.9
58,25.9
60.7,24.1
56.7,37.3
52.6,49.1
47.9,54.9
43.6,54.2
55,46.7
56.8,41
53.8,40.2
47.6,26.6
38.9,24.5
47.1,20
52.9,18.5
59.1,17.1
48.1,27.9
42.9,32.5
38.9,28.7
40.8,27.4
44.9,23.2
47,27.4
47.1,25.9
48.8,23.5
50.2,21
50.8,51.6
50.5,53.4
52.7,37.2
43.5,24.9
41.8,33.8
43.9,30.6
41.1,32.9
44.2,27.2
50,24.6
45.8,31.8
45.3,29.7
46.6,24.4
49.4,24.5
50.9,16.7
36.8,14.1
39,14.6
45.5,17.3
54,26.7
55.5,22.4
52,30.8
41.4,38.7
37.6,42.9
38.9,32.9
41.6,28.9
47.3,22.7
49.2,22
50.5,23.4
47.1,20.7
45.1,20.2
46.9,20.5
46,38.1
37.2,52.7
35.3,53.8
38.8,40.8
43.6,28.7
51.2,17.6
51,15
50.2,15.6
50.6,18.6
56.1,15.1
46.9,34.6
43.6,67.1
48.4,75.9
51.6,65.4
53.8,50.3
49.4,47.7
44.4,43.4
39.8,61.5
40.2,43.9
50.6,20.2
53.4,38.8
49.9,31.9
48.8,26.2
54.6,27.4
57.8,26
64.3,21.3
61.7,26.9
54.9,21.1
53.2,19.4
57.1,13
60.1,12
60.7,13.5
61.1,13.6
57.3,18.2
56.7,24
52.8,35.9
24.2,65.1
22.9,67.5
36.6,71.3
44.7,45.7
40.1,58.4
43.6,42.3
56.3,28.8
53.6,15.2
50.3,18
55.1,16.1
61.4,9.3
60.5,10
54,21.7
57.7,10
54.8,8.7
